#class tools::wcsv::ntuple
#title Hits
#separator 44
#vector_separator 59
#column double[] Time Gamma
#column double[] Energy Gamma
#column double[] Id Gamma
#column double[] Time Neutron
#column double[] Energy Neutron
#column double[] Id Neutron
,,,5.35816e-09;4.12813e-09;4.82347e-09;4.92752e-09,0.178416;0.551321;0.283816;0.136647,0;0;0;0
,,,2.81098e-09;2.84207e-09;3.49429e-09;4.09354e-09;5.48745e-09;1.71918e-08;2.05913e-08;2.76638e-08;3.63368e-08;4.47946e-08;8.20971e-08;1.12152e-07;1.07488e-08;4.85479e-09;6.88995e-09,1.59636;0.0945501;0.136541;0.0109039;0.00434648;0.00100161;0.00187243;0.000452862;7.13747e-05;0.000149699;2.60484e-05;2.90983e-05;0.0920066;0.23389;0.110465,0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
1.59248e-10;2.125e-10,0.209774;3.77273,1;2,,,
1.52473e-10,0.103076,1,3.21362e-09,0.99143,3
,,,2.41082e-09,1.6224,2
1.80613e-10,0.544862,0,,,
,,,3.6021e-09,1.57368,2
1.57141e-10;1.63654e-10;1.85959e-10,0.159235;1.66295;0.145771,0;1;2,,,
,,,2.74977e-09,2.4305,0
,,,4.59666e-09,0.195313,2
2.00659e-10,0.000747841,2,6.75298e-09;1.16242e-08;1.32617e-08;2.01377e-08;2.0598e-08,0.15154;0.0471181;0.00415135;0.0131455;0.00710451,0;0;0;0;0
1.53117e-10;1.89727e-10;1.49126e-10;2.55955e-10,0.00236027;0.322616;0.123483;0.0923631,0;1;1;1,2.24903e-09,0.32167,1
1.50249e-10;1.94144e-10,0.481924;0.0615806,0;2,,,
1.4976e-10;2.91609e-10;3.04009e-10,0.0827358;0.0113533;0.0382085,1;1;1,7.11739e-09,0.0125605,2
1.52667e-10,0.356502,0,,,
1.57377e-10,0.0645109,1,,,
1.84721e-10,0.0638016,2,,,
